weed,
marijuana,
cannabis,
THC,
cart,
vape,
edible,
flower,
bud,
gram,
ounce,
zip,
pound,
scale,
bag,
baggy,
powder,
pills,
tabs,
molly,
MDMA,
coke,
cocaine,
crack,
meth,
ice,
dope,
heroin,
fent,
fentanyl,
oxy,
perc,
percocet,
xanax,
adderall,
lean,
plug,
dealer,
drop,
pickup,
front,
re-up,
stash,
burner,
cash only,
