screenshot,
screen recording,
recording,
photo,
picture,
pic,
video,
selfie,
receipt,
proof,
evidence,
ID,
license,
passport,
card,
credit card,
debit card,
cash,
money,
package,
bag,
box,
safe,
gun,
knife,
weapon,
ammo,
drugs,
pills,
powder,
scale,
location,
address,
plate,
license plate,
VIN,
serial number,
document,
contract,
invoice,
bank,
password,
seed phrase,
wallet,
private key,
QR code,
barcode,
