threat,
threaten,
hurt,
kill,
shoot,
stab,
attack,
fight,
beat,
jump,
rob,
weapon,
gun,
pistol,
rifle,
shotgun,
ammo,
rounds,
magazine,
clip,
knife,
blade,
bomb,
explosive,
burn,
fire,
arson,
gasoline,
lighter,
target,
victim,
revenge,
payback,
ambush,
trap,
follow,
stalk,
watching,
outside your house,
I know where you live,
